paired,handshake_ms,ice_gather_laptop_ms,ice_gather_phone_ms,offer_bytes,qr_chars,answer_bytes,answer_b64_chars,audio_attempts,transfer_ok,transfer_kbps,transfer_size,transfer_ms,failure,iter
False,,,,,,,,,False,,,,pairing,1
False,,,,,,,,,False,,,,pairing,2
False,,,,,,,,,False,,,,pairing,3
False,,,,,,,,,False,,,,pairing,4
False,,,,,,,,,False,,,,pairing,5
