paired,handshake_ms,ice_gather_laptop_ms,ice_gather_phone_ms,offer_bytes,qr_chars,answer_bytes,answer_b64_chars,audio_attempts,transfer_ok,transfer_kbps,transfer_size,transfer_ms,failure,iter
True,16678,123,74,62,83,55,74,1,True,1712,1048576,598,,1
True,6338,124,70,62,83,55,74,1,True,2775,1048576,369,,2
True,6448,140,72,62,83,55,74,1,True,2028,1048576,505,,3
True,6451,154,79,62,83,55,74,1,True,2073,1048576,494,,4
True,6494,125,126,62,83,55,74,1,True,1401,1048576,731,,5
